# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 4,,
# V min: 5.01683, V max: 5.02452,,,
# I min: 0.05477, I max: 0.08192,,,
Time,Voltage,Current,Capacity,Energy
1520,5.01835,0.08173,0.03456787,0.0434552
1525,5.0171,0.08175,0.0346814,0.04359763
1530,5.01788,0.08176,0.03479494,0.04374008
1535,5.0178,0.08177,0.03490851,0.04388256
1540,5.01796,0.08177,0.03502208,0.044025
1545,5.01683,0.08174,0.03513562,0.04416743
1550,5.01831,0.08176,0.03524917,0.04430987
1555,5.01749,0.08173,0.0353627,0.04445226
1560,5.01753,0.08175,0.03547623,0.04459469
1565,5.01784,0.08173,0.03558976,0.04473712
1570,5.01893,0.08176,0.03570329,0.04487959
1575,5.01847,0.08175,0.03581684,0.04502205
1580,5.0187,0.08175,0.03593038,0.04516451
1585,5.01905,0.08174,0.03604392,0.04530697
1590,5.01944,0.08177,0.03615747,0.04544951
1595,5.02003,0.08177,0.03627103,0.04559203
1600,5.01991,0.08176,0.0363846,0.04573453
1605,5.0194,0.08177,0.03649816,0.04587705
1610,5.01968,0.08178,0.03661174,0.04601959
1615,5.01987,0.0818,0.03672533,0.04616218
1620,5.0203,0.08177,0.03683892,0.04630473
1625,5.02073,0.08179,0.03695251,0.0464473
1630,5.02026,0.08178,0.0370661,0.04658988
1635,5.02096,0.08177,0.03717967,0.04673242
1640,5.0203,0.08177,0.03729324,0.04687498
1645,5.02104,0.08174,0.03740679,0.04701748
1650,5.02089,0.08174,0.03752032,0.04715999
1655,5.02116,0.08172,0.03763383,0.04730244
1660,5.02042,0.08173,0.03774734,0.04744494
1665,5.02143,0.08173,0.03786085,0.04758742
1670,5.02069,0.08174,0.03797437,0.04772994
1675,5.02132,0.08176,0.03808792,0.04787246
1680,5.02046,0.08174,0.03820146,0.04801498
1685,5.02139,0.08175,0.03831499,0.04815749
1690,5.02065,0.08177,0.03842855,0.04830005
1695,5.02085,0.08176,0.03854211,0.04844257
1700,5.02042,0.08177,0.03865567,0.04858511
1705,5.02014,0.08177,0.03876924,0.04872764
1710,5.02011,0.08177,0.03888281,0.04887016
1715,5.01979,0.08177,0.03899638,0.04901269
1720,5.01995,0.08177,0.03910995,0.04915519
1725,5.01909,0.08177,0.03922352,0.04929775
1730,5.02077,0.08177,0.03933709,0.0494403
1735,5.02093,0.08181,0.03945069,0.04958291
1740,5.0205,0.08178,0.03956429,0.04972547
1745,5.02018,0.0818,0.03967789,0.04986805
1750,5.01987,0.08177,0.03979148,0.05001057
1755,5.01968,0.08176,0.03990504,0.05015307
1760,5.0196,0.08177,0.0400186,0.05029559
1765,5.01971,0.08175,0.04013216,0.05043805
1770,5.01874,0.08174,0.04024569,0.05058053
1775,5.02022,0.08176,0.04035924,0.05072307
1780,5.02089,0.08175,0.04047278,0.05086557
1785,5.02026,0.08175,0.04058633,0.05100804
1790,5.01921,0.08175,0.04069987,0.05115053
1795,5.01987,0.08175,0.04081341,0.051293
1800,5.01893,0.08173,0.04092694,0.05143548
1805,5.02061,0.08173,0.04104045,0.05157795
1810,5.02038,0.08174,0.04115397,0.05172043
1815,5.02018,0.08174,0.0412675,0.0518629
1820,5.01983,0.08172,0.04138101,0.05200534
1825,5.01987,0.08172,0.04149451,0.05214779
1830,5.02038,0.08174,0.04160803,0.05229031
1835,5.02143,0.08174,0.04172156,0.0524328
1840,5.02046,0.08174,0.04183508,0.05257528
1845,5.01995,0.08176,0.04194863,0.05271779
1850,5.01995,0.08177,0.04206219,0.05286034
1855,5.02073,0.08176,0.04217575,0.05300287
1860,5.02077,0.08176,0.04228931,0.05314542
1865,5.0212,0.08177,0.04240287,0.05328796
1870,5.02022,0.08173,0.04251641,0.05343043
1875,5.0205,0.08175,0.04262994,0.05357295
1880,5.021,0.08173,0.04274347,0.05371544
1885,5.02108,0.08171,0.04285697,0.05385788
1890,5.02038,0.08174,0.04297047,0.05400036
1895,5.02022,0.08176,0.04308401,0.05414288
1900,5.0203,0.08173,0.04319755,0.05428533
1905,5.01971,0.08174,0.04331107,0.05442783
1910,5.02061,0.08174,0.0434246,0.05457034
1915,5.02116,0.08176,0.04353814,0.05471284
1920,5.0196,0.08173,0.04365167,0.05485532
1925,5.02081,0.08175,0.0437652,0.05499781
1930,5.01971,0.08175,0.04387874,0.05514031
1935,5.02018,0.08176,0.04399229,0.05528282
1940,5.02007,0.08178,0.04410586,0.05542537
1945,5.01999,0.08177,0.04421944,0.05556791
1950,5.0205,0.08177,0.04433301,0.05571044
1955,5.01971,0.08177,0.04444658,0.05585301
1960,5.02147,0.08178,0.04456015,0.05599556
1965,5.02007,0.08177,0.04467373,0.05613811
1970,5.02093,0.08177,0.0447873,0.05628066
1975,5.02077,0.08178,0.04490088,0.05642322
1980,5.02042,0.08178,0.04501446,0.05656577
1985,5.02011,0.08177,0.04512803,0.05670833
1990,5.02089,0.08178,0.04524161,0.05685088
1995,5.01999,0.08177,0.04535519,0.05699342
2000,5.02046,0.08176,0.04546875,0.05713593
2005,5.01999,0.08177,0.04558231,0.05727844
2010,5.01936,0.08175,0.04569587,0.05742095
2015,5.02046,0.08175,0.04580941,0.05756342
2020,5.01921,0.08177,0.04592297,0.05770593
2025,5.01925,0.08174,0.04603651,0.05784838
2030,5.01921,0.08176,0.04615006,0.05799087
2035,5.01889,0.08174,0.0462636,0.05813335
2040,5.0203,0.08177,0.04637715,0.05827587
2045,5.01956,0.08175,0.0464907,0.05841835
2050,5.0196,0.0818,0.04660428,0.0585609
2055,5.01889,0.0818,0.04671789,0.05870349
2060,5.02018,0.08178,0.04683149,0.05884599
2065,5.0185,0.08179,0.04694508,0.05898853
2070,5.01909,0.08179,0.04705867,0.05913108
2075,5.0194,0.08178,0.04717226,0.05927362
2080,5.01975,0.08182,0.04728588,0.05941624
2085,5.02003,0.08182,0.04739951,0.05955887
2090,5.02057,0.0818,0.04751314,0.05970146
2095,5.02022,0.08183,0.04762677,0.0598441
2100,5.02038,0.08181,0.04774041,0.0599867
2105,5.01971,0.08181,0.04785403,0.06012928
2110,5.01936,0.08182,0.04796767,0.06027188
2115,5.01956,0.08181,0.0480813,0.06041448
2120,5.01995,0.08181,0.04819492,0.06055706
2125,5.01925,0.08183,0.04830856,0.06069969
2130,5.02014,0.08183,0.04842222,0.0608423
2135,5.01882,0.08179,0.04853584,0.06098484
2140,5.01929,0.08178,0.04864943,0.06112735
2145,5.01878,0.08178,0.04876301,0.06126987
2150,5.01905,0.08178,0.0488766,0.06141239
2155,5.01913,0.08179,0.04899019,0.06155494
2160,5.01944,0.08179,0.04910378,0.0616975
2165,5.01983,0.08179,0.04921738,0.06184006
2170,5.01971,0.0818,0.04933099,0.06198258
2175,5.018,0.08179,0.04944459,0.06212513
2180,5.01948,0.08178,0.04955818,0.06226769
2185,5.02042,0.08179,0.04967177,0.06241024
2190,5.01925,0.08178,0.04978536,0.06255278
2195,5.01995,0.0818,0.04989896,0.06269536
2200,5.01987,0.08178,0.05001256,0.06283787
2205,5.0185,0.08177,0.05012613,0.06298035
2210,5.01839,0.08179,0.05023972,0.06312285
2215,5.01788,0.08179,0.05035331,0.0632654
2220,5.01921,0.08175,0.05046688,0.06340786
2225,5.01886,0.08174,0.05058042,0.06355032
2230,5.01964,0.08175,0.05069395,0.06369282
2235,5.01987,0.08177,0.05080751,0.06383533
2240,5.01929,0.08176,0.05092107,0.06397782
2245,5.01925,0.08176,0.05103463,0.06412034
2250,5.02046,0.08176,0.05114818,0.06426286
2255,5.02038,0.08175,0.05126173,0.06440537
2260,5.02053,0.08177,0.05137528,0.06454791
2265,5.02018,0.08177,0.05148885,0.06469043
2270,5.01979,0.08174,0.0516024,0.06483291
2275,5.01983,0.08175,0.05171594,0.0649754
2280,5.02003,0.08176,0.05182949,0.06511792
2285,5.02014,0.08177,0.05194305,0.06526046
2290,5.02038,0.08178,0.05205663,0.065403
2295,5.01975,0.08178,0.05217021,0.06554554
2300,5.01971,0.08177,0.05228378,0.06568809
2305,5.02081,0.08175,0.05239734,0.06583062
2310,5.02132,0.08177,0.0525109,0.06597317
2315,5.02077,0.08179,0.05262448,0.06611579
2320,5.02171,0.08179,0.05273808,0.0662584
2325,5.02175,0.08181,0.05285169,0.06640103
2330,5.02112,0.08179,0.0529653,0.06654362
2335,5.02089,0.08177,0.05307888,0.06668615
2340,5.01979,0.08178,0.05319246,0.06682871
2345,5.02077,0.08177,0.05330603,0.06697127
2350,5.02081,0.08178,0.05341961,0.06711384
2355,5.02081,0.08176,0.05353318,0.06725637
2360,5.02065,0.08177,0.05364674,0.06739892
2365,5.02093,0.08177,0.05376031,0.06754147
2370,5.02069,0.08177,0.05387388,0.06768406
2375,5.02214,0.08177,0.05398745,0.06782662
2380,5.02096,0.08177,0.05410102,0.06796917
2385,5.02077,0.08181,0.05421462,0.06811181
2390,5.02151,0.08178,0.05432822,0.06825439
2395,5.02116,0.08177,0.0544418,0.06839696
2400,5.02132,0.08177,0.05455537,0.06853952
2405,5.02096,0.08177,0.05466894,0.06868205
2410,5.01999,0.0818,0.05478253,0.06882463
2415,5.02007,0.08181,0.05489615,0.06896727
2420,5.02128,0.08178,0.05500975,0.06910985
2425,5.02139,0.0818,0.05512335,0.06925246
2430,5.02085,0.08179,0.05523695,0.06939504
2435,5.02057,0.08178,0.05535054,0.06953764
2440,5.02182,0.08182,0.05546415,0.06968031
2445,5.02178,0.08179,0.05557777,0.0698229
2450,5.02112,0.08181,0.05569138,0.06996555
2455,5.02155,0.08179,0.05580499,0.07010812
2460,5.02046,0.08174,0.05591856,0.07025065
2465,5.02167,0.08174,0.05603208,0.07039314
2470,5.02065,0.08174,0.05614561,0.07053563
2475,5.02046,0.08172,0.05625913,0.0706781
2480,5.02069,0.08173,0.05637263,0.07082058
2485,5.02077,0.08175,0.05648616,0.07096307
2490,5.01999,0.08169,0.05659966,0.07110545
2495,5.01964,0.08174,0.05671315,0.07124793
2500,5.01983,0.08171,0.05682666,0.07139037
2505,5.02061,0.08174,0.05694017,0.07153285
2510,5.02003,0.08175,0.0570537,0.07167537
2515,5.02112,0.08172,0.05716722,0.07181783
2520,5.02065,0.08174,0.05728074,0.07196031
2525,5.01979,0.08174,0.05739426,0.07210276
2530,5.01936,0.08174,0.05750779,0.07224524
2535,5.01983,0.08174,0.05762132,0.07238768
2540,5.01882,0.08174,0.05773485,0.07253016
