# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
1095,5.02135,0.08458,0.42470578,0.02573997,0.03238555
1100,5.02132,0.08457,0.42465303,0.02585744,0.03253301
1105,5.02147,0.08459,0.42476615,0.02597491,0.0326805
1110,5.02151,0.08459,0.42476953,0.0260924,0.03282798
1115,5.02147,0.0846,0.42481636,0.02620989,0.03297549
1120,5.02151,0.08459,0.42476953,0.02632738,0.033123
1125,5.02206,0.08459,0.42481606,0.02644487,0.0332705
1130,5.0221,0.08458,0.42476922,0.02656235,0.03341799
1135,5.02186,0.08459,0.42479914,0.02667983,0.03356547
1140,5.02143,0.08459,0.42476276,0.02679731,0.03371297
1145,5.02194,0.08462,0.42495656,0.02691482,0.03386051
1150,5.02124,0.08459,0.42474669,0.02703233,0.03400799
1155,5.02112,0.08463,0.42493739,0.02714984,0.03415553
1160,5.021,0.08461,0.42482681,0.02726737,0.03430308
1165,5.02233,0.08463,0.42503979,0.0273849,0.03445063
1170,5.02112,0.08461,0.42483696,0.02750242,0.03459813
1175,5.02096,0.08462,0.42487364,0.02761994,0.03474568
1180,5.02159,0.08464,0.42502738,0.02773749,0.03489328
1185,5.02221,0.08461,0.42492919,0.02785502,0.03504079
1190,5.02112,0.08462,0.42488717,0.02797254,0.03518832
1195,5.02112,0.0846,0.42478675,0.02809006,0.0353358
1200,5.02073,0.0846,0.42475376,0.02820756,0.0354833
1205,5.02116,0.08459,0.42473992,0.02832505,0.03563078
1210,5.02108,0.08463,0.424934,0.02844256,0.03577831
1215,5.02057,0.0846,0.42474022,0.02856008,0.03592582
1220,5.02167,0.0846,0.42483328,0.02867758,0.03607333
1225,5.02175,0.08461,0.42489027,0.02879509,0.03622081
1230,5.01995,0.08461,0.42473797,0.0289126,0.0363683
1235,5.02022,0.08461,0.42476081,0.02903012,0.03651579
1240,5.02026,0.0846,0.424714,0.02914763,0.03666326
1245,5.02042,0.08456,0.42452672,0.0292651,0.03681067
1250,5.02065,0.0846,0.42474699,0.02938257,0.03695819
1255,5.02178,0.08465,0.42509368,0.0295001,0.03710577
1260,5.0212,0.08463,0.42494416,0.02961766,0.03725332
1265,5.02116,0.0846,0.42479014,0.02973518,0.03740081
1270,5.02096,0.08463,0.42492384,0.0298527,0.03754837
1275,5.02155,0.0846,0.42482313,0.02997022,0.03769589
1280,5.02171,0.08462,0.4249371,0.03008774,0.03784342
1285,5.0212,0.08463,0.42494416,0.03020527,0.03799097
1290,5.02116,0.08465,0.42504119,0.03032283,0.03813857
1295,5.02182,0.08461,0.42489619,0.03044037,0.03828606
1300,5.0203,0.0846,0.42471738,0.03055788,0.03843353
