algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
SpVSH-320,40,9,yes,1990508.0,11552628.0,1.51462135
SpVSH-320,40,24,yes,2410350.0,14158780.0,1.83408837
SpVSH-320,40,12,yes,2382502.0,15085752.0,1.81289822
SpVSH-320,40,21,yes,2482296.0,15941164.0,1.88883367
SpVSH-320,40,16,yes,2775241.0,16962134.0,2.11174197
SpVSH-320,40,6,yes,3042595.0,19965788.0,2.31517751
SpVSH-320,48,4,yes,2426086.0,11682844.0,0.11537889
SpVSH-320,48,7,yes,11520222.0,53785443.0,0.54787441
SpVSH-320,48,8,yes,19566779.0,94416196.0,0.93054955
SpVSH-320,48,2,yes,17303412.0,109953998.0,0.82290919
SpVSH-320,48,1,yes,22605959.0,110012279.0,1.07508574
SpVSH-320,48,5,yes,20948778.0,120530004.0,0.99627415
SpVSH-320,48,0,yes,18389590.0,125313420.0,0.87456524
SpVSH-320,48,3,yes,37677542.0,172917922.0,1.79185444
SpVSH-320,48,9,yes,29766503.0,207894062.0,1.41562421
SpVSH-320,48,6,yes,39478342.0,272814028.0,1.87749622
SpVSH-320,56,1,yes,84861183.0,559620700.0,0.25223727
SpVSH-320,56,4,yes,323997798.0,1597136219.0,0.96303538
SpVSH-320,56,2,yes,533212119.0,2544651423.0,1.5848939
SpVSH-320,56,0,yes,539096744.0,2524841600.0,1.60238508
SpVSH-320,56,3,yes,545156208.0,2721464051.0,1.62039593
SHA-3-256,16,15,yes,40.0,185.0,0.12466946
SHA-3-256,16,20,yes,31.0,153.0,0.09661883
SHA-3-256,16,6,yes,294.0,1444.0,0.91632055
SHA-3-256,16,3,yes,131.0,641.0,0.40829249
SHA-3-256,16,8,yes,107.0,522.0,0.33349081
SHA-3-256,16,10,yes,124.0,581.0,0.38647533
SHA-3-256,16,28,yes,57.0,276.0,0.17765398
SHA-3-256,16,4,yes,237.0,1092.0,0.73866657
SHA-3-256,16,29,yes,89.0,444.0,0.27738955
SHA-3-256,16,44,yes,26.0,168.0,0.08103515
SHA-3-256,16,26,yes,122.0,595.0,0.38024186
SHA-3-256,16,9,yes,182.0,1168.0,0.56724605
SHA-3-256,16,13,yes,157.0,948.0,0.48932764
SHA-3-256,16,40,yes,56.0,269.0,0.17453725
SHA-3-256,16,23,yes,191.0,903.0,0.59529668
SHA-3-256,16,30,yes,112.0,756.0,0.3490745
SHA-3-256,16,35,yes,221.0,1019.0,0.68879878
SHA-3-256,16,17,yes,176.0,1136.0,0.54854564
SHA-3-256,16,22,yes,205.0,1000.0,0.638931
SHA-3-256,16,32,yes,371.0,1764.0,1.15630927
SHA-3-256,16,7,yes,199.0,1168.0,0.62023058
SHA-3-256,16,16,yes,173.0,844.0,0.53919543
SHA-3-256,16,31,yes,169.0,1132.0,0.52672848
