algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,24,46,0,0x4c954e,yes,1938,1922,19,1941,13540,5133.5747,10.922584,0.37809910,0.016148,245b0b6b4f58e04ac8216b0000000000,245b0b6b4f58e04a2a3a070000000000,0x1ced47
SHA-3-256,24,43,0,0xa1b0f3,yes,2166,2142,57,2199,15180,5133.5747,11.102632,0.42835648,0.016808,d80f14b6ddc5f6d362ff630000000000,d80f14b6ddc5f6d3a239200000000000,0xeb9d0f
SHA-3-256,24,11,0,0xeeb4d8,yes,3861,3782,351,4133,27413,5133.5747,12.012974,0.80509201,0.020107,751ca01f993ac685d2f9e80000000000,751ca01f993ac6858e2fb70000000000,0x3cb6b5
SHA-3-256,24,31,0,0xdeb9c1,yes,5285,15,5285,5300,26485,5133.5747,12.371777,1.03241899,0.019310,63bc6c0940b4bf92d31df10000000000,63bc6c0940b4bf92d599460000000000,0x3b92e2
SHA-3-256,24,7,0,0xcebf49,yes,3360,3306,3360,6666,30024,5133.5747,12.702606,1.29851037,0.020575,c1d0932aaaf447fc0448b80000000000,c1d0932aaaf447fc0edb900000000000,0x1958cb
SHA-3-256,24,35,0,0xa1c405,yes,2191,2136,313,2449,15743,5133.5747,11.257977,0.47705549,0.020542,0eabd90b7e25211f9ffd0a0000000000,0eabd90b7e25211fbc8a0d0000000000,0x979172
SHA-3-256,24,26,0,0xcde487,yes,4653,3460,1551,5011,30901,5133.5747,12.290883,0.97612293,0.022422,d4d0ad5abac6da8b9ca06b0000000000,d4d0ad5abac6da8b5275250000000000,0xf107e9
SHA-3-256,24,22,0,0x097ce6,yes,3983,1734,3983,5717,26851,5133.5747,12.481043,1.11364893,0.025284,d9ff152d33f511c745d8380000000000,d9ff152d33f511c7b3ee3e0000000000,0xb51ff7
SHA-3-256,24,41,0,0x828e2f,yes,3236,1127,3236,4363,20688,5133.5747,12.091105,0.84989510,0.024621,1093f9f7d6489df2dd82f40000000000,1093f9f7d6489df266d5500000000000,0x16412f
SHA-3-256,24,16,0,0x1583ac,yes,5071,2168,5071,7239,34027,5133.5747,12.821575,1.41012850,0.025844,00bcde1a0cc746334a0c9e0000000000,00bcde1a0cc7463309e2180000000000,0xd6329c
