time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
950.00000000,5.02303000,0.08188000,0.02161103,0.02719452
955.00000000,5.02245000,0.08187000,0.02172474,0.02733729
960.00000000,5.02206000,0.08186000,0.02183844,0.02748005
965.00000000,5.02280000,0.08187000,0.02195215,0.02762285
970.00000000,5.02335000,0.08189000,0.02206587,0.02776568
975.00000000,5.02331000,0.08188000,0.02217960,0.02790853
980.00000000,5.02432000,0.08188000,0.02229332,0.02805136
985.00000000,5.02385000,0.08185000,0.02240702,0.02819412
990.00000000,5.02335000,0.08187000,0.02252072,0.02833692
995.00000000,5.02315000,0.08189000,0.02263444,0.02847973
1000.00000000,5.02272000,0.08188000,0.02274817,0.02862254
1005.00000000,5.02307000,0.08190000,0.02286190,0.02876537
1010.00000000,5.02257000,0.08191000,0.02297566,0.02890823
1015.00000000,5.02288000,0.08189000,0.02308941,0.02905105
1020.00000000,5.02296000,0.08189000,0.02320315,0.02919381
1025.00000000,5.02085000,0.08188000,0.02331688,0.02933657
1030.00000000,5.02124000,0.08187000,0.02343059,0.02947931
1035.00000000,5.02132000,0.08189000,0.02354431,0.02962209
1040.00000000,5.02151000,0.08189000,0.02365805,0.02976487
1045.00000000,5.02124000,0.08189000,0.02377178,0.02990763
1050.00000000,5.02069000,0.08188000,0.02388551,0.03005039
1055.00000000,5.02147000,0.08189000,0.02399924,0.03019317
1060.00000000,5.02167000,0.08187000,0.02411297,0.03033593
1065.00000000,5.02190000,0.08190000,0.02422669,0.03047873
1070.00000000,5.02128000,0.08190000,0.02434044,0.03062151
1075.00000000,5.02104000,0.08191000,0.02445420,0.03076431
1080.00000000,5.02093000,0.08192000,0.02456797,0.03090711
1085.00000000,5.02034000,0.08188000,0.02468172,0.03104985
1090.00000000,5.02042000,0.08190000,0.02479546,0.03119262
1095.00000000,5.02077000,0.08189000,0.02490920,0.03133539
1100.00000000,5.02100000,0.08192000,0.02502296,0.03147819
1105.00000000,5.02018000,0.08191000,0.02513673,0.03162098
1110.00000000,5.02073000,0.08191000,0.02525049,0.03176379
1115.00000000,5.02132000,0.08189000,0.02536424,0.03190653
1120.00000000,5.01991000,0.08189000,0.02547798,0.03204928
1125.00000000,5.02030000,0.08191000,0.02559173,0.03219207
1130.00000000,5.02077000,0.08190000,0.02570549,0.03233486
1135.00000000,5.02112000,0.08190000,0.02581924,0.03247762
1140.00000000,5.02026000,0.08189000,0.02593298,0.03262035
1145.00000000,5.01952000,0.08187000,0.02604670,0.03276307
1150.00000000,5.02050000,0.08190000,0.02616043,0.03290585
1155.00000000,5.02100000,0.08189000,0.02627417,0.03304862
1160.00000000,5.02120000,0.08189000,0.02638791,0.03319139
1165.00000000,5.02100000,0.08186000,0.02650162,0.03333410
1170.00000000,5.02077000,0.08189000,0.02661534,0.03347685
1175.00000000,5.02034000,0.08187000,0.02672906,0.03361960
1180.00000000,5.02151000,0.08189000,0.02684278,0.03376238
1185.00000000,5.02171000,0.08187000,0.02695651,0.03390512
1190.00000000,5.02112000,0.08186000,0.02707021,0.03404785
1195.00000000,5.02163000,0.08188000,0.02718392,0.03419058
1200.00000000,5.02022000,0.08186000,0.02729762,0.03433328
